system:index,date,ssrd_sum_J_m2,.geo
20040514,2004-05-14,1.4504920101779938E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040515,2004-05-15,1.8272334282824628E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040516,2004-05-16,1.746661076916902E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040517,2004-05-17,1.3740166240764145E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040518,2004-05-18,1.6144846466959631E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040519,2004-05-19,1.800208931647702E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040520,2004-05-20,1.787122532466437E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040521,2004-05-21,2.0765586147251807E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040522,2004-05-22,1.3104111460518122E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040523,2004-05-23,1.2884950363413796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040524,2004-05-24,1.9544093481187165E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040525,2004-05-25,1.6712439028434968E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040526,2004-05-26,1.4533163616559302E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040527,2004-05-27,1.5322096098810015E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040528,2004-05-28,1.805238671378404E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040529,2004-05-29,1.3941580945638422E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040530,2004-05-30,9381070.575642647,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040531,2004-05-31,9775582.733610256,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040601,2004-06-01,1.7293263581883486E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040602,2004-06-02,1.270513538683202E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040603,2004-06-03,1.446490376810547E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040604,2004-06-04,1.700571959456584E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040605,2004-06-05,1.8258495297252808E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040606,2004-06-06,1.4643287773082089E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040607,2004-06-07,1.5367533649990965E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040608,2004-06-08,2.036249978022594E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040609,2004-06-09,1.7205221930608224E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040610,2004-06-10,1.8163479386591204E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040611,2004-06-11,1.781043507266269E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040612,2004-06-12,1.6365752239279198E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040613,2004-06-13,1.5242220420203475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040614,2004-06-14,1.7572205050468557E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040615,2004-06-15,1.673760225657696E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040616,2004-06-16,1.4886283029638996E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040617,2004-06-17,1.5436843784881497E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040618,2004-06-18,1.4469169725683788E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040619,2004-06-19,1.6208414003892995E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040620,2004-06-20,2.1146626108321782E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040621,2004-06-21,1.6774705370096112E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040622,2004-06-22,1.7021024221700475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040623,2004-06-23,1.858553858286677E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040624,2004-06-24,1.8567323876146324E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040625,2004-06-25,1.869544799566552E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040626,2004-06-26,1.6874301355888672E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040627,2004-06-27,1.446163859514778E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040628,2004-06-28,1.6978310694038082E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040629,2004-06-29,2.0177783824453667E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040630,2004-06-30,1.9528108603776608E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040701,2004-07-01,1.9914679196757164E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040702,2004-07-02,1.8138214183051385E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040703,2004-07-03,1.7637746533421613E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040704,2004-07-04,1.415830277984468E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040705,2004-07-05,1.872378205052877E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040706,2004-07-06,1.9992690431561407E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040707,2004-07-07,1.3018758271426551E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040708,2004-07-08,1.9185435468143582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040709,2004-07-09,1.8018942531816263E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040710,2004-07-10,1.9256164366945587E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040711,2004-07-11,1.7998968648245126E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040712,2004-07-12,1.814038842369515E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040713,2004-07-13,1.873915877406537E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040714,2004-07-14,1.959712485316958E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040715,2004-07-15,2.075028339160797E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
