system:index,date,temperature_2m,.geo
170,2004-06-19,298.7425136566162,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2004-06-20,299.26208305358887,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2004-06-21,298.8595479329427,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2004-06-22,298.8754463195801,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2004-06-23,299.14133135477704,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2004-06-24,298.96721903483075,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2004-06-25,298.8841667175293,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2004-06-26,298.789218266805,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2004-06-27,298.5354124704997,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2004-06-28,298.5517883300781,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2004-06-29,299.010098139445,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2004-06-30,298.9825496673584,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2004-07-01,299.4456380208333,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2004-07-02,299.15294647216797,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2004-07-03,298.969908396403,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2004-07-04,298.88727378845215,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2004-07-05,299.1441599527995,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2004-07-06,298.9836940765381,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2004-07-07,298.49622472127277,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2004-07-08,298.69005330403644,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2004-07-09,298.68646748860675,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2004-07-10,299.1423231760661,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2004-07-11,298.7445837656657,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2004-07-12,298.8011391957601,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2004-07-13,299.3436508178711,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2004-07-14,299.395751953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2004-07-15,299.6365102132161,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2004-07-16,299.3573417663574,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2004-07-17,299.1659590403239,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2004-07-18,298.78360748291016,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2004-07-19,298.86593437194824,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2004-07-20,299.95426750183105,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2004-07-21,299.5971686045329,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2004-07-22,299.23755645751953,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2004-07-23,299.0089473724365,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2004-07-24,299.085480372111,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2004-07-25,298.9919026692708,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2004-07-26,298.9671440124512,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2004-07-27,298.78605969746906,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2004-07-28,298.8371696472168,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2004-07-29,298.90505027770996,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2004-07-30,299.0344429016113,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2004-07-31,298.16002527872723,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2004-08-01,298.97200711568195,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2004-08-02,299.0483849843343,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2004-08-03,299.7275142669678,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2004-08-04,299.98792966206867,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2004-08-05,299.57834498087567,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2004-08-06,299.57844734191895,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2004-08-07,300.08554522196454,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2004-08-08,299.62346903483075,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2004-08-09,299.0803114573161,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2004-08-10,299.851016998291,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2004-08-11,299.8769868214925,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2004-08-12,300.1163152058919,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2004-08-13,299.8418312072754,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2004-08-14,299.6651147206624,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2004-08-15,299.74324226379395,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2004-08-16,299.31218846638996,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2004-08-17,298.93223508199054,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2004-08-18,299.60618019104004,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2004-08-19,299.73734347025555,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2004-08-20,300.11979420979816,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2004-08-21,300.2723395029704,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2004-08-22,299.9842020670573,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2004-08-23,299.9504559834798,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2004-08-24,300.4096101125081,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2004-08-25,299.88354937235516,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2004-08-26,299.83095932006836,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2004-08-27,299.88073476155597,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2004-08-28,300.5050786336263,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2004-08-29,300.9337164560954,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2004-08-30,300.96442794799805,"{""type"":""MultiPoint"",""coordinates"":[]}"
