system:index,am_cloud,am_convective,am_precip,am_ssrd,date,pm_cloud,pm_convective,pm_precip,pm_ssrd,.geo
2812,0.48856341155866784,7.727353076916188E-4,8.51509782175223E-4,5801391.83984375,2011-09-13,0.36988433667769033,7.902433668884138E-4,8.099636567446092E-4,1.188984653125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2813,0.7435100345561901,0.0019135160885828857,0.002114341865914563,4117288.0625,2011-09-14,0.6763396753619114,0.0017942743191573147,0.0018668182407661031,9661826.291666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2814,0.7032067024459442,4.7475978499278426E-4,5.268180005562803E-4,5784399.2265625,2011-09-15,0.460012910887599,3.7310001789592206E-4,4.2394542833790183E-4,1.1747447859375E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2815,0.552277252698938,4.80461836559698E-4,5.640719900839031E-4,6214732.626302083,2011-09-16,0.49632953262577456,0.0020172346751981727,0.0021404347110850117,1.1285377140625E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2816,0.6844461926569542,1.9813333832037946E-4,2.3047474678605795E-4,6489038.239583333,2011-09-17,0.4256233450335761,9.893124418643613E-5,1.0482720487440626E-4,1.2250040505208334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2817,0.289937653268377,1.0991020826622844E-4,1.1804868699982762E-4,6734366.65625,2011-09-18,0.2855724887922406,0.00125567718835858,0.0013060251658316702,1.2183245354166666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2818,0.2603394156321883,3.4572706984666485E-4,4.731412045657635E-4,5833890.467447917,2011-09-19,0.22223234362900257,9.160586826813717E-5,1.1860932378719251E-4,1.2384029130208334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2819,0.5381481653700272,5.225535229935E-4,6.331542584424218E-4,5796210.983072917,2011-09-20,0.3739745148147146,0.0011988840706180781,0.001311013145217051,1.148625046875E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2820,0.5633922017489871,0.001971305478946306,0.0021086718576649823,5060041.734375,2011-09-21,0.4737963667139411,0.0021796186920255423,0.0022990548653372875,9857157.921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2821,0.3657176997512579,2.655775557893018E-4,3.595606346304218E-4,5937431.73828125,2011-09-22,0.3568342950505515,6.187206211810311E-4,7.142765292276939E-4,1.1542390890625E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2822,0.5313768470659852,4.820253428382178E-4,5.665876475783685E-4,5950222.130208333,2011-09-23,0.510258189557741,0.0036116103971532234,0.003762396595751246,1.0629063059895834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2823,0.30347044207155704,4.1353419267882906E-5,5.353700059155623E-5,6856327.490885417,2011-09-24,0.46149904125680524,8.558868042503794E-5,9.450458067779739E-5,1.2832921453125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2824,0.29362767065564793,7.225119043141603E-5,7.867438641066353E-5,7020054.239583333,2011-09-25,0.41023122053593397,3.4363390295766294E-4,3.5919094807468355E-4,1.2609510661458334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2825,0.29288837624092895,4.487097418556611E-4,4.7680584248155355E-4,6669576.765625,2011-09-26,0.2585858466724555,0.002851568817277439,0.0029161538113839924,1.1404471864583334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2826,0.4219800680875778,3.055674897041172E-4,3.7515365208188695E-4,5453573.213541667,2011-09-27,0.30092997243627906,5.442794111634915E-4,5.860454790915052E-4,1.0482160611979166E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2827,0.7092187820623318,2.778313064482063E-4,3.0388353237261373E-4,6242703.104166667,2011-09-28,0.7138855634257197,1.8328843483080467E-4,2.3171014618128538E-4,1.1833503614583334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2828,0.6067084036767483,2.126367277620981E-4,2.1795901314665875E-4,6731692.0078125,2011-09-29,0.22854333386446038,8.109254510297129E-4,8.403048656570414E-4,1.2298193130208334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2829,0.19550559064373374,2.674554707482457E-5,3.0135619454085827E-5,7192492.104166667,2011-09-30,0.11922865671416123,4.815894256656369E-5,5.266927958776554E-5,1.3118953005208334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2830,0.46228768676519394,9.66948214530324E-4,0.0011080235708504915,5272949.299479167,2011-10-01,0.5210785927871863,0.0029014919467347986,0.0031127019804747156,1.0311637458333334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2831,0.8627093508839607,5.199903098400682E-4,6.540945420662562E-4,4893159.388020833,2011-10-02,0.6985638445864121,0.006194111299312984,0.006537989965484788,8817986.479166666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2832,0.8980982502301534,0.0013214675564086065,0.0015097677047985296,4392720.3515625,2011-10-03,0.9294384556512038,0.0032309083956837035,0.003536960129470875,8643999.045572916,"{""type"":""MultiPoint"",""coordinates"":[]}"
2833,0.9692575310667356,0.0019872808140159273,0.0021229026994357505,4840125.25390625,2011-10-04,0.9628870996336142,0.0029037250593925514,0.0030795576555343964,8075455.924479167,"{""type"":""MultiPoint"",""coordinates"":[]}"
2834,0.9473901328941187,4.0000578155741096E-4,5.273670928242306E-4,4790661.015625,2011-10-05,0.7878681682050228,5.192864045966417E-4,5.545690267657241E-4,1.0443351401041666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2835,0.37400678312405944,1.4680796690906087E-5,1.560673505688707E-5,7147712.203125,2011-10-06,0.12757647021984062,5.36616425961256E-7,5.433103069663048E-7,1.334708515625E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2836,0.4795475173741579,1.9266782328486443E-4,2.612509997561574E-4,6485286.73046875,2011-10-07,0.6097184969112277,2.594358811620623E-4,3.029080107808113E-4,1.1927217536458334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
